Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance
.3835E+03 .7184E+00 .2066E+00 .1380E+00 .1821E+00 .9253E-01 .2746E+00
.3840E+03 .7914E+00 .2288E+00 .1518E+00 .2016E+00 .1019E+00 .3035E+00
.3845E+03 .1162E+01 .3378E+00 .2227E+00 .2978E+00 .1496E+00 .4474E+00
.3850E+03 .1151E+01 .3364E+00 .2203E+00 .2965E+00 .1481E+00 .4446E+00
.3855E+03 .1070E+01 .3145E+00 .2047E+00 .2772E+00 .1377E+00 .4149E+00
.3860E+03 .9154E+00 .2705E+00 .1749E+00 .2384E+00 .1177E+00 .3561E+00
.3865E+03 .1200E+01 .3567E+00 .2292E+00 .3144E+00 .1544E+00 .4688E+00
.3870E+03 .9967E+00 .2976E+00 .1900E+00 .2623E+00 .1280E+00 .3903E+00
.3875E+03 .1118E+01 .3355E+00 .2129E+00 .2957E+00 .1436E+00 .4393E+00
.3880E+03 .1031E+01 .3110E+00 .1961E+00 .2741E+00 .1323E+00 .4064E+00
.3885E+03 .1018E+01 .3086E+00 .1934E+00 .2720E+00 .1306E+00 .4026E+00
.3890E+03 .1098E+01 .3344E+00 .2082E+00 .2948E+00 .1407E+00 .4355E+00
.3895E+03 .1328E+01 .4066E+00 .2516E+00 .3584E+00 .1702E+00 .5285E+00
.3900E+03 .1331E+01 .4096E+00 .2519E+00 .3611E+00 .1705E+00 .5315E+00
.3905E+03 .1224E+01 .3784E+00 .2313E+00 .3335E+00 .1566E+00 .4902E+00
.3910E+03 .1439E+01 .4471E+00 .2716E+00 .3941E+00 .1841E+00 .5781E+00
.3915E+03 .1466E+01 .4577E+00 .2764E+00 .4034E+00 .1874E+00 .5909E+00
.3920E+03 .1234E+01 .3869E+00 .2322E+00 .3410E+00 .1576E+00 .4986E+00
.3925E+03 .1103E+01 .3477E+00 .2074E+00 .3065E+00 .1409E+00 .4473E+00
.3930E+03 .6129E+00 .1942E+00 .1151E+00 .1712E+00 .7825E-01 .2494E+00
.3935E+03 .4448E+00 .1417E+00 .8348E-01 .1249E+00 .5678E-01 .1817E+00
.3940E+03 .9043E+00 .2893E+00 .1695E+00 .2550E+00 .1153E+00 .3703E+00
.3945E+03 .1148E+01 .3691E+00 .2149E+00 .3254E+00 .1464E+00 .4717E+00
.3950E+03 .1400E+01 .4520E+00 .2616E+00 .3984E+00 .1783E+00 .5767E+00
.3955E+03 .1421E+01 .4607E+00 .2651E+00 .4060E+00 .1808E+00 .5869E+00
.3960E+03 .1231E+01 .4008E+00 .2293E+00 .3533E+00 .1565E+00 .5098E+00
.3965E+03 .7183E+00 .2352E+00 .1337E+00 .2073E+00 .9134E-01 .2986E+00
.3970E+03 .5384E+00 .1771E+00 .1001E+00 .1561E+00 .6844E-01 .2245E+00
.3975E+03 .1094E+01 .3614E+00 .2031E+00 .3186E+00 .1389E+00 .4575E+00
.3980E+03 .1532E+01 .5077E+00 .2838E+00 .4475E+00 .1942E+00 .6418E+00
.3985E+03 .1582E+01 .5265E+00 .2926E+00 .4641E+00 .2004E+00 .6645E+00
.3990E+03 .1709E+01 .5722E+00 .3161E+00 .5044E+00 .2167E+00 .7210E+00
.3995E+03 .1702E+01 .5722E+00 .3143E+00 .5043E+00 .2156E+00 .7199E+00
.4000E+03 .1767E+01 .5960E+00 .3256E+00 .5253E+00 .2235E+00 .7488E+00
.4010E+03 .1810E+01 .6160E+00 .3320E+00 .5430E+00 .2283E+00 .7713E+00
.4020E+03 .1904E+01 .6542E+00 .3487E+00 .5767E+00 .2401E+00 .8167E+00
.4030E+03 .1804E+01 .6255E+00 .3297E+00 .5513E+00 .2273E+00 .7786E+00
.4040E+03 .1773E+01 .6196E+00 .3231E+00 .5461E+00 .2231E+00 .7692E+00
.4050E+03 .1770E+01 .6231E+00 .3215E+00 .5493E+00 .2223E+00 .7716E+00
.4060E+03 .1737E+01 .6168E+00 .3149E+00 .5437E+00 .2180E+00 .7617E+00
.4070E+03 .1704E+01 .6107E+00 .3083E+00 .5382E+00 .2138E+00 .7521E+00
.4080E+03 .1769E+01 .6381E+00 .3188E+00 .5624E+00 .2214E+00 .7838E+00
.4090E+03 .1890E+01 .6868E+00 .3396E+00 .6053E+00 .2362E+00 .8415E+00
.4100E+03 .1648E+01 .6034E+00 .2953E+00 .5319E+00 .2057E+00 .7375E+00
.4110E+03 .1781E+01 .6573E+00 .3184E+00 .5794E+00 .2220E+00 .8014E+00
.4120E+03 .1906E+01 .7100E+00 .3404E+00 .6258E+00 .2377E+00 .8635E+00
.4130E+03 .1858E+01 .6960E+00 .3304E+00 .6134E+00 .2311E+00 .8445E+00
.4140E+03 .1877E+01 .7084E+00 .3329E+00 .6244E+00 .2332E+00 .8575E+00
.4150E+03 .1877E+01 .7141E+00 .3322E+00 .6294E+00 .2330E+00 .8625E+00
.4160E+03 .1904E+01 .7307E+00 .3364E+00 .6440E+00 .2364E+00 .8804E+00
.4170E+03 .1855E+01 .7164E+00 .3267E+00 .6315E+00 .2298E+00 .8613E+00
.4180E+03 .1818E+01 .7069E+00 .3192E+00 .6231E+00 .2249E+00 .8479E+00
.4190E+03 .1839E+01 .7199E+00 .3219E+00 .6345E+00 .2271E+00 .8616E+00
.4200E+03 .1829E+01 .7203E+00 .3191E+00 .6349E+00 .2254E+00 .8603E+00
.4210E+03 .1909E+01 .7574E+00 .3323E+00 .6676E+00 .2351E+00 .9027E+00
.4220E+03 .1812E+01 .7235E+00 .3143E+00 .6378E+00 .2228E+00 .8605E+00
.4230E+03 .1767E+01 .7103E+00 .3056E+00 .6261E+00 .2169E+00 .8430E+00
.4240E+03 .1868E+01 .7550E+00 .3217E+00 .6654E+00 .2287E+00 .8941E+00
